,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10
gamma,8.217,8.133000000000001,8.352,8.224,8.336,8.216,8.212,8.4,8.047,8.432
 real_In_exist_to_end,455,491,456,478,502,487,504,455,529,461
real_Rn_gamma,0.006903259140860778,0.007857919181508017,0.007124718497059693,0.006781582518305831,0.006023377578489885,0.006497355136108034,0.007540495439521089,0.0064926448131260965,0.006045272012412961,0.006615441373932214
Z0_gamma,1507,1630,1415,1698,1543,1668,1600,1428,1770,1455
hat_lambda_0,-0.5105329519707598,-0.5061588800159129,-0.5098228753463709,-0.49558841173381996,-0.500412861397201,-0.4982406136868959,-0.5035516995545977,-0.5058208716750832,-0.5013285248418483,-0.5016798251144017
hat_lambda_1,0.7857556048379583,1.1602576198360568,0.8433454586962296,0.8154478831523866,0.7028375227016644,0.775056568771977,1.1433127001686074,0.6765774251927604,0.7973368691998696,0.7156811829672527
hat_r_1,0.6839970499687477,0.061682005938611194,0.4257155194231916,0.5486055620485369,0.9571591702753592,0.6950029752940736,0.061089753941454356,1.1749375916535594,0.6359383915661942,0.9000498950971908
hat_alpha,0.5382688004715674,0.7752764262109905,0.5855308048929433,0.5589739568227997,0.492822355020508,0.5321197505240829,0.7721765249594993,0.47908809603549285,0.5346019730618408,0.5070768802269169
