,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7
gamma,8.677,8.792,8.839,8.618,8.589,8.799,8.635
 real_In_exist_to_end,458,478,457,470,473,472,483
real_Rn_gamma,0.008132063980393296,0.006755612224660105,0.007767702624349229,0.007131895949436578,0.007600992925404988,0.007353662357852133,0.007424353008140264
Z0_gamma,1283,1197,1228,1366,1419,1227,1414
hat_lambda_0,-0.5020132649941906,-0.5033384621715485,-0.49776935810195055,-0.49817630828956755,-0.4954264510199308,-0.50012478921006,-0.49319601835711757
hat_lambda_1,1.0689904725243937,0.8107478051278914,0.9695071446624381,0.8745038287753635,1.0040964319613908,0.9328481097440399,0.9829941701443143
hat_r_1,0.06842507992023601,0.3552462056943411,0.11869802646630272,0.27224312821835694,0.11449731958333832,0.154270448534092,0.12516116679563397
hat_alpha,0.7664355700557445,0.5954136638163209,0.7110326314022357,0.6270959440463336,0.7138965069847665,0.6817015627309553,0.7034432831135782
