,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10
gamma,8.628,8.525,8.404,8.439,8.345,8.564,8.497,8.304,8.559000000000001,8.597
 real_In_exist_to_end,433,477,514,478,515,467,475,485,476,482
real_Rn_gamma,0.0072107482724078345,0.006630711050351412,0.005686383967963917,0.006350836494357467,0.006738416330999533,0.008531102302081706,0.007175318149945481,0.00842784393513295,0.005606224885796677,0.007253537763488888
Z0_gamma,1365,1390,1408,1495,1672,1393,1425,1622,1420,1395
hat_lambda_0,-0.497683791997122,-0.5015679107150136,-0.5072584398205904,-0.4980500034536605,-0.4902516083074393,-0.49903205175039966,-0.5002940299243824,-0.4963283032628697,-0.49708065362483017,-0.4969496069227362
hat_lambda_1,0.752721219805143,0.7725747490006746,0.6537157448634195,0.7096583525556146,0.9210161129803691,1.1965545865597909,0.9116072123727846,1.2472517799412641,0.5012732973199407,0.9513709304156953
hat_r_1,0.6572428273071491,0.5674926510871214,1.1946376416652142,0.8967834884560202,0.23552229637351974,0.030864849808478687,0.2327800337547167,0.02863684233259707,2.8914629327707613,0.16035915234735196
hat_alpha,0.5446931099556711,0.5510264290213066,0.46422324795201336,0.5037887382876469,0.6376651261747985,0.8442046053905612,0.6428417617347584,0.8513247386112359,0.3728023403003008,0.6782404070547785
