,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10
gamma,8.21,8.037,8.176,8.038,8.14,8.087,8.22,8.037,8.271,8.084
 real_In_exist_to_end,504.0,511.0,470.0,488.0,478.0,506.0,451.0,499.0,477.0,499.0
real_Rn_gamma,0.006522300681558579,0.006932567954718314,0.006807877656203115,0.005507261010307559,0.006118191016809838,0.00585717292950953,0.00811760982658657,0.007588011901980368,0.007335613830092121,0.006370891004163926
Z0_gamma,1746.0,1719.0,1515.0,1669.0,1740.0,1815.0,1666.0,1746.0,1667.0,1760.0
hat_lambda_0,-0.49303809117791486,-0.5055900783361178,-0.5124455414660909,-0.5091994950620046,-0.497700868889638,-0.49574436976273994,-0.49814411706124573,-0.5036509554025981,-0.4949999494885061,-0.49973483138768315
hat_lambda_1,0.8346132996874003,0.9955157886775788,0.8130995061493078,0.5336829749552798,0.6425462195510497,0.6765972070045955,1.0279302835815973,1.120637379023087,0.9454626203570807,0.7851374218566206
hat_r_1,0.4686180891955837,0.19234493471630734,0.5790587093291255,3.0454649689289788,1.644741358753336,1.3138713936738955,0.14941659732856702,0.08809071554211954,0.23070499055275975,0.7058933514394332
hat_alpha,0.5705555638925341,0.6596723252970992,0.5529504946506764,0.36895533463609165,0.4429005694072519,0.4614499184212366,0.6972066542473403,0.7401674638933201,0.6475293412253805,0.52952584790464
