,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10
gamma,8.438,8.327,8.3,8.459,8.357,8.44,8.288,8.371,8.286,8.47
 real_In_exist_to_end,480,478,502,442,495,451,518,455,505,460
real_Rn_gamma,0.006103962715310423,0.007119370524976909,0.006499779471495526,0.006639148308346352,0.006499584006244478,0.007683137375286588,0.005849225298164426,0.00825642037076693,0.005897989614095756,0.0064275491610422475
Z0_gamma,1440,1506,1655,1554,1405,1406,1637,1479,1635,1476
hat_lambda_0,-0.5025512055463596,-0.5038685068584592,-0.49414086471795965,-0.4922967175839503,-0.5103665051097742,-0.5052631981753103,-0.4961757827701609,-0.5033811972595184,-0.49644308250529506,-0.49773724436951716
hat_lambda_1,0.648420400734788,0.9152749174050165,0.820351167501206,0.6518001844611192,0.8226686550032677,0.9434105679082407,0.6999845019425603,1.0887050965727643,0.6697951943103417,0.6566416621641732
hat_r_1,1.301107983666391,0.26250807547001004,0.4779719090946593,1.3693015286444399,0.4467198184485157,0.2084468222397669,0.9810515181841295,0.08336885562883398,1.2089502037046438,1.2719773923047548
hat_alpha,0.4630243544026703,0.6315893203777179,0.5676632239502769,0.46721071744689613,0.5721902354339335,0.6594098713167633,0.4883515406522463,0.7511996059649018,0.4687027268072654,0.4706182141923071
