,Value
zeta,7.523604414458157
expec_In_exist_to_end,505.96442562694074
expec_Rn_gamma,0.006362201482957811
Phi_0_gamma,1756.2312642285412
lambda_0,-0.5
lambda_1,0.8
r_1,1.0
alpha,0.5
