,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7
gamma,9.147,8.932,8.986,9.002,8.785,9.067,9.028
 real_In_exist_to_end,440,495,481,449,486,423,467
real_Rn_gamma,0.007276985134780992,0.007405857321778313,0.006613825588424549,0.006767265599835726,0.006775738314670666,0.007705626914119549,0.006144670232574482
Z0_gamma,1052,1124,1133,1007,1355,1012,1253
hat_lambda_0,-0.497920309573912,-0.5024940029687184,-0.4985868243870712,-0.5107969975840553,-0.4896264919358483,-0.5065889064875723,-0.485116250562047
hat_lambda_1,0.7876024588993739,1.0433109851540905,0.7847427039880781,0.7189142245343249,0.8287110241593969,0.8363572919913572,0.597326554009772
hat_r_1,0.34358179662306537,0.05805360277869926,0.3621296148814235,0.5961791302722118,0.3150524546977684,0.2661120986393559,1.2957488413822218
hat_alpha,0.6039328799076076,0.7715944087236657,0.590835063078362,0.5441611261417352,0.6083471037173869,0.6330611392059904,0.4615198632781741
