,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10
gamma,8.142,8.105,8.045,8.209,8.208,8.295,8.27,8.290000000000001,8.062,8.106
 real_In_exist_to_end,467,481,471,491,481,449,450,452,516,501
real_Rn_gamma,0.007479444757553252,0.006621140095269267,0.006788293748738049,0.005695195346377104,0.006782921183086599,0.007915571402886762,0.00772294325802781,0.006394244614468295,0.006207466750044258,0.005798590127617591
Z0_gamma,1758,1736,1831,1672,1483,1503,1563,1474,1862,1797
hat_lambda_0,-0.4963145893791583,-0.5001340616594612,-0.49724150656255045,-0.49837369610495574,-0.5130486260760594,-0.5060526914065406,-0.5028492302961006,-0.5087081293390767,-0.4941105193665612,-0.49581193908051685
hat_lambda_1,0.9410329994274815,0.7925680059103185,0.7841078633038078,0.5827802939256025,0.8518830795461444,1.0045938208997358,0.9646071261605201,0.6450300667792245,0.7984526274381976,0.6357372588026966
hat_r_1,0.27393461830025423,0.6867490428256162,0.7813782615706036,2.135740278256025,0.4312081097174707,0.15916133456181772,0.21184355293439258,1.5307511564778091,0.6418465302787981,1.6640248989022228
hat_alpha,0.6339910078161108,0.5356613358560421,0.5263852407324471,0.4087592217269244,0.5803174824999167,0.6879717979085731,0.6595865164104838,0.4520390576257431,0.536831226665731,0.436874065569122
