,Value 1,Value 2,Value 3,Value 4,Value 5,Value 6,Value 7,Value 8,Value 9,Value 10
gamma,8.769,8.655,8.833,8.677,8.792,8.839,8.618,8.589,8.799,8.635
 real_In_exist_to_end,443,474,441,458,478,457,470,473,472,483
real_Rn_gamma,0.006571946,0.0072466,0.006766048,0.008132064,0.006755612,0.007767703,0.007131896,0.007600993,0.007353662,0.007424353
Z0_gamma,1291,1378,1152,1283,1197,1228,1366,1419,1227,1414
hat_lambda_0,-0.496037527,-0.49503605,-0.505340272,-0.502013265,-0.503338462,-0.497769358,-0.498176308,-0.495426451,-0.500124789,-0.493196018
hat_lambda_1,0.637117613,0.91970066,0.681496215,1.068990473,0.810747805,0.969507145,0.874503829,1.004096432,0.93284811,0.98299417
hat_r_1,1.225409932,0.191985895,0.882121535,0.06842508,0.355246206,0.118698026,0.272243128,0.11449732,0.154270449,0.125161167
hat_alpha,0.474412734,0.66126249,0.507982505,0.76643557,0.595413664,0.711032631,0.627095944,0.713896507,0.681701563,0.703443283
