100,200,400,800,1600,3200,6400,12800,25600,51200,102400,204800,409600,819200,1638400,3276800,6553600,13107200,26214400
0.775,4.659,0.0,5.6930000000000005,8.235,6.638,8.502,9.016,9.281,10.754,13.052,12.268,12.579,13.093,14.277000000000001,14.412,15.621,16.41,17.348
0.577,5.067,0.0,6.32,7.131,7.836,7.285,10.769,9.6,0.0,11.887,12.523,14.532,13.071,13.954,15.46,15.22,16.985,16.811
3.623,5.542,4.148,0.0,6.739,7.16,8.623,9.474,11.52,10.976,11.464,12.01,13.126,13.496,15.228,15.707,15.983,16.672,16.987000000000002
