100,200,400,800,1600,3200,6400,12800,25600,51200,102400,204800,409600,819200,1638400,3276800,6553600,13107200,26214400
100,36,400,311,353,814,1145,2029,4030,5601,7496,17146,33233,58371,93946,182881,288110,486040,809566
57,118,400,188,317,749,1227,1571,3406,51200,8976,16518,21563,58639,99688,144490,307679,436960,895318
42,21,161,800,364,810,1114,1866,2868,5599,10492,19055,29231,53498,76155,139527,262644,460695,873090
